,mean,sd,share_agree,share_disagree,share_neutral,n,domain_code,domain,question,polarisation
E04,0.4368,1.1617,0.5402,0.2759,0.1839,87,E,Education,High-quality online learning can effectively complement classroom teaching.,0.5961
E03,-0.9425,1.1178,0.1264,0.7011,0.1724,87,E,Education,Class attendance should be compulsory for all courses.,0.3546
E02,-0.1609,1.1129,0.3218,0.4253,0.2529,87,E,Education,Traditional written examinations accurately measure a student's knowledge.,0.5475
T08,0.0698,1.0975,0.3678,0.2759,0.3448,86,T,Technology,AI-assisted diagnosis should become routine in healthcare.,0.4059
S02,0.8391,1.0491,0.7241,0.1149,0.1609,87,S,Ethics & Society,Universities should encourage students to participate in community service activities.,0.3329
T07,1.2069,1.041,0.8276,0.092,0.0805,87,T,Technology,Robots should replace humans in hazardous occupations whenever possible.,0.3044
E09,0.7907,1.0356,0.6092,0.1034,0.2759,86,E,Education,Collaborative learning is generally more effective than individual learning.,0.2521
E12,0.931,1.026,0.7356,0.1149,0.1494,87,E,Education,Artificial intelligence should be integrated into teaching and personalized learning.,0.3382
T12,1.0581,1.0041,0.7701,0.092,0.1264,86,T,Technology,Governments should introduce stricter regulations for Artificial Intelligence.,0.2833
S08,0.9186,1.0025,0.6552,0.069,0.2644,86,S,Ethics & Society,Diverse teams generally make better decisions than homogeneous teams.,0.1807
T02,1.023,0.994,0.8046,0.092,0.1034,87,T,Technology,Generative AI tools should be allowed as learning aids in higher education.,0.2959
S04,1.1494,0.9888,0.8046,0.0805,0.1149,87,S,Ethics & Society,Technology companies should be accountable for unethical use of their platforms.,0.259
T01,0.6207,0.9854,0.6782,0.1264,0.1954,87,T,Technology,Artificial Intelligence will improve society more than it will create problems.,0.343
E06,0.8721,0.9499,0.6897,0.092,0.2069,86,E,Education,Every undergraduate student should participate in at least one research project.,0.2537
T09,0.2674,0.9453,0.4138,0.1954,0.3793,86,T,Technology,Autonomous vehicles will ultimately make transportation safer.,0.3234
E13,0.3412,0.94,0.3678,0.1264,0.4828,85,E,Education,Universities should invest more resources in research than in expanding infrastructure.,0.186
V03,0.9651,0.9207,0.7241,0.069,0.1954,86,V,Environment,Individuals should actively reduce their personal energy consumption.,0.1998
